Date,XLK,XLF,XLE,XLV,XLI,XLP,XLY,XLU,XLB
2015-02-09,17.941129684448242,15.696805953979492,25.332571029663086,56.862823486328125,45.60017395019531,35.64167022705078,31.957372665405273,15.84387493133545,19.726778030395508
2015-02-10,18.207805633544922,15.820967674255371,25.319875717163086,57.81934356689453,45.852394104003906,36.05884552001953,32.34880828857422,16.170032501220703,19.87316131591797
2015-02-11,18.277751922607422,15.820967674255371,25.142333984375,57.877071380615234,45.868656158447266,36.227176666259766,32.357608795166016,15.819847106933594,19.841520309448242
2015-02-12,18.526933670043945,15.97780704498291,25.472063064575195,58.083221435546875,46.299842834472656,36.3955078125,32.74025344848633,15.74775218963623,20.18177032470703
2015-02-13,18.644968032836914,15.96473217010498,26.011058807373047,58.31407928466797,46.51137924194336,36.227176666259766,32.93816375732422,15.507427215576172,20.35190200805664
2015-02-17,18.65370750427246,16.01702117919922,26.090322494506836,58.73463821411133,46.576454162597656,36.23448944091797,32.8633918762207,15.493698120117188,20.37563705444336
2015-02-18,18.671199798583984,15.91899299621582,25.779605865478516,58.80057907104492,46.83679962158203,36.432098388671875,32.845794677734375,15.861042976379395,20.43102264404297
2015-02-19,18.736772537231445,15.853646278381348,25.659137725830078,58.899532318115234,46.91816329956055,36.19789123535156,32.94694900512695,15.682526588439941,20.486419677734375
2015-02-20,18.832948684692383,15.971269607543945,25.535476684570312,59.51797866821289,47.316810607910156,36.30034255981445,33.18006134033203,15.685952186584473,20.545761108398438
2015-02-23,18.846059799194336,15.932065963745117,25.43085289001465,59.79010009765625,47.1134147644043,36.402809143066406,33.14928436279297,15.792384147644043,20.522024154663086
